"customer_id","age","gender","tenure","usage_frequency","support_calls","payment_delay","subscription_type","contract_length","total_spend","last_interaction","churn","churn_status","age_group","tenure_band","spend_tier","usage_band","support_calls_band","payment_delay_band","last_interaction_band","risk_label"
3572,24,"Female",50,14,7,9,"Premium","Monthly",194,21,0,"Retained","18-25","Champion (49-60m)","Low (100-299)","Moderate (13-18)","High (6-8)","Moderately Late (8-15d)","Concerning (15-21d)","Medium"
3573,29,"Female",1,20,7,9,"Basic","Annual",919,28,0,"Retained","26-35","Early (1-12m)","High (900-1000)","High (19-24)","High (6-8)","Moderately Late (8-15d)","Neglected (22-30d)","Medium"
3574,25,"Male",17,4,1,5,"Standard","Annual",690,13,0,"Retained","18-25","Growing (13-24m)","Mid (500-699)","Very Low (1-6)","Low (1-2)","Slightly Late (1-7d)","Mild Gap (8-14d)","Low"
3575,42,"Male",41,18,10,8,"Basic","Monthly",778,24,0,"Retained","36-45","Loyal (37-48m)","Mid-High (700-899)","Moderate (13-18)","Critical (9-10)","Moderately Late (8-15d)","Neglected (22-30d)","Medium"
3576,37,"Female",50,4,2,12,"Standard","Annual",846,15,0,"Retained","36-45","Champion (49-60m)","Mid-High (700-899)","Very Low (1-6)","Low (1-2)","Moderately Late (8-15d)","Concerning (15-21d)","Low"
3577,65,"Female",43,2,4,29,"Basic","Quarterly",428,3,1,"Churned","56-65","Loyal (37-48m)","Mid-Low (300-499)","Very Low (1-6)","Medium (3-5)","Severely Late (23-30d)","Recent (1-7d)","Critical"
3578,26,"Male",26,6,10,14,"Standard","Quarterly",374,15,0,"Retained","26-35","Established (25-36m)","Mid-Low (300-499)","Very Low (1-6)","Critical (9-10)","Moderately Late (8-15d)","Concerning (15-21d)","Medium"
3579,19,"Male",25,10,4,25,"Basic","Quarterly",478,16,0,"Retained","18-25","Established (25-36m)","Mid-Low (300-499)","Low (7-12)","Medium (3-5)","Severely Late (23-30d)","Concerning (15-21d)","High"
3580,30,"Female",56,5,5,19,"Basic","Quarterly",473,30,1,"Churned","26-35","Champion (49-60m)","Mid-Low (300-499)","Very Low (1-6)","Medium (3-5)","Very Late (16-22d)","Neglected (22-30d)","Critical"
3581,55,"Female",15,8,7,6,"Basic","Annual",903,4,0,"Retained","46-55","Growing (13-24m)","High (900-1000)","Low (7-12)","High (6-8)","Slightly Late (1-7d)","Recent (1-7d)","Medium"
3582,23,"Male",20,24,3,5,"Standard","Annual",249,3,0,"Retained","18-25","Growing (13-24m)","Low (100-299)","High (19-24)","Medium (3-5)","Slightly Late (1-7d)","Recent (1-7d)","Low"
3583,36,"Male",14,17,8,4,"Basic","Annual",193,21,0,"Retained","36-45","Growing (13-24m)","Low (100-299)","Moderate (13-18)","High (6-8)","Slightly Late (1-7d)","Concerning (15-21d)","Medium"
3584,41,"Female",12,26,4,20,"Standard","Monthly",564,21,0,"Retained","36-45","Early (1-12m)","Mid (500-699)","Very High (25-30)","Medium (3-5)","Very Late (16-22d)","Concerning (15-21d)","High"
3585,55,"Female",46,15,9,12,"Basic","Annual",891,16,0,"Retained","46-55","Loyal (37-48m)","Mid-High (700-899)","Moderate (13-18)","Critical (9-10)","Moderately Late (8-15d)","Concerning (15-21d)","Medium"
3586,52,"Female",36,5,8,11,"Standard","Quarterly",625,14,1,"Churned","46-55","Established (25-36m)","Mid (500-699)","Very Low (1-6)","High (6-8)","Moderately Late (8-15d)","Mild Gap (8-14d)","High"
3587,62,"Male",39,16,6,22,"Basic","Quarterly",636,4,1,"Churned","56-65","Loyal (37-48m)","Mid (500-699)","Moderate (13-18)","High (6-8)","Very Late (16-22d)","Recent (1-7d)","Critical"
3588,23,"Female",5,20,8,27,"Basic","Annual",734,25,0,"Retained","18-25","Early (1-12m)","Mid-High (700-899)","High (19-24)","High (6-8)","Severely Late (23-30d)","Neglected (22-30d)","Critical"
3589,40,"Male",4,1,4,21,"Premium","Quarterly",719,14,0,"Retained","36-45","Early (1-12m)","Mid-High (700-899)","Very Low (1-6)","Medium (3-5)","Very Late (16-22d)","Mild Gap (8-14d)","Critical"
3590,52,"Male",10,10,4,7,"Basic","Annual",961,14,0,"Retained","46-55","Early (1-12m)","High (900-1000)","Low (7-12)","Medium (3-5)","Slightly Late (1-7d)","Mild Gap (8-14d)","Low"
3591,19,"Male",52,4,6,25,"Premium","Annual",970,28,1,"Churned","18-25","Champion (49-60m)","High (900-1000)","Very Low (1-6)","High (6-8)","Severely Late (23-30d)","Neglected (22-30d)","Critical"
3592,27,"Male",59,7,5,9,"Standard","Annual",269,13,0,"Retained","26-35","Champion (49-60m)","Low (100-299)","Low (7-12)","Medium (3-5)","Moderately Late (8-15d)","Mild Gap (8-14d)","Medium"
3593,31,"Male",27,13,4,0,"Premium","Annual",124,27,0,"Retained","26-35","Established (25-36m)","Low (100-299)","Moderate (13-18)","Medium (3-5)","On Time","Neglected (22-30d)","Low"
3594,27,"Male",42,20,8,15,"Premium","Quarterly",154,2,0,"Retained","26-35","Loyal (37-48m)","Low (100-299)","High (19-24)","High (6-8)","Moderately Late (8-15d)","Recent (1-7d)","Medium"
3595,39,"Male",23,16,4,26,"Basic","Quarterly",612,3,0,"Retained","36-45","Growing (13-24m)","Mid (500-699)","Moderate (13-18)","Medium (3-5)","Severely Late (23-30d)","Recent (1-7d)","High"
3596,33,"Female",41,24,8,7,"Basic","Quarterly",227,30,0,"Retained","26-35","Loyal (37-48m)","Low (100-299)","High (19-24)","High (6-8)","Slightly Late (1-7d)","Neglected (22-30d)","Medium"
3597,57,"Female",28,6,3,5,"Basic","Monthly",120,18,0,"Retained","56-65","Established (25-36m)","Low (100-299)","Very Low (1-6)","Medium (3-5)","Slightly Late (1-7d)","Concerning (15-21d)","Low"
3598,58,"Male",28,3,1,23,"Standard","Annual",540,17,0,"Retained","56-65","Established (25-36m)","Mid (500-699)","Very Low (1-6)","Low (1-2)","Severely Late (23-30d)","Concerning (15-21d)","High"
3599,54,"Female",57,8,8,14,"Basic","Monthly",960,24,0,"Retained","46-55","Champion (49-60m)","High (900-1000)","Low (7-12)","High (6-8)","Moderately Late (8-15d)","Neglected (22-30d)","Medium"
3600,47,"Female",39,2,8,29,"Standard","Quarterly",855,5,1,"Churned","46-55","Loyal (37-48m)","Mid-High (700-899)","Very Low (1-6)","High (6-8)","Severely Late (23-30d)","Recent (1-7d)","Critical"
3601,25,"Female",39,17,2,6,"Premium","Monthly",683,24,0,"Retained","18-25","Loyal (37-48m)","Mid (500-699)","Moderate (13-18)","Low (1-2)","Slightly Late (1-7d)","Neglected (22-30d)","Low"
3602,54,"Male",10,16,0,16,"Basic","Quarterly",888,4,0,"Retained","46-55","Early (1-12m)","Mid-High (700-899)","Moderate (13-18)","No Calls","Very Late (16-22d)","Recent (1-7d)","Medium"
3603,33,"Male",35,9,5,18,"Standard","Annual",976,26,1,"Churned","26-35","Established (25-36m)","High (900-1000)","Low (7-12)","Medium (3-5)","Very Late (16-22d)","Neglected (22-30d)","High"
3604,18,"Female",49,6,10,30,"Basic","Quarterly",695,19,1,"Churned","18-25","Champion (49-60m)","Mid (500-699)","Very Low (1-6)","Critical (9-10)","Severely Late (23-30d)","Concerning (15-21d)","Critical"
3605,45,"Female",31,3,8,22,"Standard","Quarterly",272,10,1,"Churned","36-45","Established (25-36m)","Low (100-299)","Very Low (1-6)","High (6-8)","Very Late (16-22d)","Mild Gap (8-14d)","Critical"
3606,20,"Male",52,19,10,4,"Premium","Monthly",578,7,0,"Retained","18-25","Champion (49-60m)","Mid (500-699)","High (19-24)","Critical (9-10)","Slightly Late (1-7d)","Recent (1-7d)","Medium"
3607,29,"Male",4,13,2,28,"Premium","Monthly",421,10,0,"Retained","26-35","Early (1-12m)","Mid-Low (300-499)","Moderate (13-18)","Low (1-2)","Severely Late (23-30d)","Mild Gap (8-14d)","Medium"
3608,43,"Male",32,30,1,14,"Standard","Annual",843,9,0,"Retained","36-45","Established (25-36m)","Mid-High (700-899)","Very High (25-30)","Low (1-2)","Moderately Late (8-15d)","Mild Gap (8-14d)","Low"
3609,48,"Female",29,3,6,16,"Basic","Annual",151,6,1,"Churned","46-55","Established (25-36m)","Low (100-299)","Very Low (1-6)","High (6-8)","Very Late (16-22d)","Recent (1-7d)","Critical"
3610,48,"Male",48,21,1,8,"Premium","Quarterly",393,2,0,"Retained","46-55","Loyal (37-48m)","Mid-Low (300-499)","High (19-24)","Low (1-2)","Moderately Late (8-15d)","Recent (1-7d)","Low"
3611,33,"Female",57,14,6,27,"Basic","Annual",484,26,1,"Churned","26-35","Champion (49-60m)","Mid-Low (300-499)","Moderate (13-18)","High (6-8)","Severely Late (23-30d)","Neglected (22-30d)","Critical"
3612,35,"Female",57,12,4,21,"Premium","Monthly",370,14,1,"Churned","26-35","Champion (49-60m)","Mid-Low (300-499)","Low (7-12)","Medium (3-5)","Very Late (16-22d)","Mild Gap (8-14d)","High"
3613,30,"Female",17,29,1,1,"Standard","Quarterly",820,3,0,"Retained","26-35","Growing (13-24m)","Mid-High (700-899)","Very High (25-30)","Low (1-2)","Slightly Late (1-7d)","Recent (1-7d)","Low"
3614,38,"Female",42,22,3,11,"Premium","Annual",760,28,0,"Retained","36-45","Loyal (37-48m)","Mid-High (700-899)","High (19-24)","Medium (3-5)","Moderately Late (8-15d)","Neglected (22-30d)","Low"
3615,65,"Female",9,26,6,13,"Standard","Annual",291,14,0,"Retained","56-65","Early (1-12m)","Low (100-299)","Very High (25-30)","High (6-8)","Moderately Late (8-15d)","Mild Gap (8-14d)","Medium"
3616,26,"Female",15,4,3,26,"Standard","Monthly",771,9,1,"Churned","26-35","Growing (13-24m)","Mid-High (700-899)","Very Low (1-6)","Medium (3-5)","Severely Late (23-30d)","Mild Gap (8-14d)","Critical"
3617,65,"Female",34,21,0,3,"Standard","Monthly",566,14,0,"Retained","56-65","Established (25-36m)","Mid (500-699)","High (19-24)","No Calls","Slightly Late (1-7d)","Mild Gap (8-14d)","Low"
3618,41,"Female",7,22,8,20,"Premium","Quarterly",153,21,0,"Retained","36-45","Early (1-12m)","Low (100-299)","High (19-24)","High (6-8)","Very Late (16-22d)","Concerning (15-21d)","High"
3619,37,"Male",46,28,3,12,"Premium","Quarterly",270,3,0,"Retained","36-45","Loyal (37-48m)","Low (100-299)","Very High (25-30)","Medium (3-5)","Moderately Late (8-15d)","Recent (1-7d)","Low"
3620,30,"Male",54,11,4,23,"Standard","Annual",465,12,0,"Retained","26-35","Champion (49-60m)","Mid-Low (300-499)","Low (7-12)","Medium (3-5)","Severely Late (23-30d)","Mild Gap (8-14d)","High"
3621,65,"Male",27,3,3,16,"Premium","Quarterly",945,11,0,"Retained","56-65","Established (25-36m)","High (900-1000)","Very Low (1-6)","Medium (3-5)","Very Late (16-22d)","Mild Gap (8-14d)","High"
3622,45,"Male",14,15,1,20,"Basic","Quarterly",961,25,0,"Retained","36-45","Growing (13-24m)","High (900-1000)","Moderate (13-18)","Low (1-2)","Very Late (16-22d)","Neglected (22-30d)","Medium"
3623,49,"Female",35,2,1,22,"Standard","Annual",851,10,0,"Retained","46-55","Established (25-36m)","Mid-High (700-899)","Very Low (1-6)","Low (1-2)","Very Late (16-22d)","Mild Gap (8-14d)","High"
3624,56,"Female",10,29,6,3,"Basic","Quarterly",191,20,0,"Retained","56-65","Early (1-12m)","Low (100-299)","Very High (25-30)","High (6-8)","Slightly Late (1-7d)","Concerning (15-21d)","Medium"
3625,39,"Male",3,3,8,14,"Basic","Annual",777,18,1,"Churned","36-45","Early (1-12m)","Mid-High (700-899)","Very Low (1-6)","High (6-8)","Moderately Late (8-15d)","Concerning (15-21d)","High"
3626,64,"Male",13,20,6,2,"Standard","Quarterly",277,6,0,"Retained","56-65","Growing (13-24m)","Low (100-299)","High (19-24)","High (6-8)","Slightly Late (1-7d)","Recent (1-7d)","Medium"
3627,30,"Male",20,20,0,19,"Standard","Annual",199,11,0,"Retained","26-35","Growing (13-24m)","Low (100-299)","High (19-24)","No Calls","Very Late (16-22d)","Mild Gap (8-14d)","Medium"
3628,18,"Female",18,9,4,8,"Standard","Quarterly",677,18,0,"Retained","18-25","Growing (13-24m)","Mid (500-699)","Low (7-12)","Medium (3-5)","Moderately Late (8-15d)","Concerning (15-21d)","Low"
3629,30,"Female",23,29,2,4,"Premium","Monthly",183,29,0,"Retained","26-35","Growing (13-24m)","Low (100-299)","Very High (25-30)","Low (1-2)","Slightly Late (1-7d)","Neglected (22-30d)","Low"
3630,35,"Male",53,19,3,9,"Premium","Quarterly",217,21,0,"Retained","26-35","Champion (49-60m)","Low (100-299)","High (19-24)","Medium (3-5)","Moderately Late (8-15d)","Concerning (15-21d)","Low"
3631,54,"Male",58,7,1,23,"Basic","Annual",749,21,0,"Retained","46-55","Champion (49-60m)","Mid-High (700-899)","Low (7-12)","Low (1-2)","Severely Late (23-30d)","Concerning (15-21d)","Medium"
3632,22,"Male",48,6,4,12,"Standard","Monthly",179,24,0,"Retained","18-25","Loyal (37-48m)","Low (100-299)","Very Low (1-6)","Medium (3-5)","Moderately Late (8-15d)","Neglected (22-30d)","Low"
3633,46,"Female",38,10,5,11,"Standard","Monthly",922,5,0,"Retained","46-55","Loyal (37-48m)","High (900-1000)","Low (7-12)","Medium (3-5)","Moderately Late (8-15d)","Recent (1-7d)","Medium"
3634,30,"Female",26,27,0,10,"Standard","Monthly",384,20,0,"Retained","26-35","Established (25-36m)","Mid-Low (300-499)","Very High (25-30)","No Calls","Moderately Late (8-15d)","Concerning (15-21d)","Low"
3635,30,"Female",2,9,2,24,"Premium","Monthly",182,9,1,"Churned","26-35","Early (1-12m)","Low (100-299)","Low (7-12)","Low (1-2)","Severely Late (23-30d)","Mild Gap (8-14d)","Medium"
3636,31,"Female",4,13,4,8,"Standard","Monthly",104,11,0,"Retained","26-35","Early (1-12m)","Low (100-299)","Moderate (13-18)","Medium (3-5)","Moderately Late (8-15d)","Mild Gap (8-14d)","Low"
3637,61,"Male",48,23,4,27,"Basic","Annual",114,28,0,"Retained","56-65","Loyal (37-48m)","Low (100-299)","High (19-24)","Medium (3-5)","Severely Late (23-30d)","Neglected (22-30d)","High"
3638,25,"Female",60,23,0,5,"Standard","Quarterly",875,19,0,"Retained","18-25","Champion (49-60m)","Mid-High (700-899)","High (19-24)","No Calls","Slightly Late (1-7d)","Concerning (15-21d)","Low"
3639,41,"Female",46,26,10,8,"Premium","Quarterly",257,29,0,"Retained","36-45","Loyal (37-48m)","Low (100-299)","Very High (25-30)","Critical (9-10)","Moderately Late (8-15d)","Neglected (22-30d)","Medium"
3640,42,"Male",32,27,2,17,"Premium","Annual",578,26,0,"Retained","36-45","Established (25-36m)","Mid (500-699)","Very High (25-30)","Low (1-2)","Very Late (16-22d)","Neglected (22-30d)","Medium"
3641,52,"Female",54,24,2,14,"Basic","Quarterly",499,17,0,"Retained","46-55","Champion (49-60m)","Mid-Low (300-499)","High (19-24)","Low (1-2)","Moderately Late (8-15d)","Concerning (15-21d)","Low"
3642,53,"Female",42,13,8,1,"Basic","Quarterly",598,9,0,"Retained","46-55","Loyal (37-48m)","Mid (500-699)","Moderate (13-18)","High (6-8)","Slightly Late (1-7d)","Mild Gap (8-14d)","Medium"
3643,40,"Male",34,19,4,12,"Standard","Monthly",349,24,0,"Retained","36-45","Established (25-36m)","Mid-Low (300-499)","High (19-24)","Medium (3-5)","Moderately Late (8-15d)","Neglected (22-30d)","Low"
3644,31,"Male",16,20,9,7,"Premium","Quarterly",634,26,0,"Retained","26-35","Growing (13-24m)","Mid (500-699)","High (19-24)","Critical (9-10)","Slightly Late (1-7d)","Neglected (22-30d)","Medium"
3645,28,"Female",11,19,1,28,"Basic","Quarterly",685,3,0,"Retained","26-35","Early (1-12m)","Mid (500-699)","High (19-24)","Low (1-2)","Severely Late (23-30d)","Recent (1-7d)","Medium"
3646,55,"Female",42,6,10,25,"Premium","Annual",380,20,1,"Churned","46-55","Loyal (37-48m)","Mid-Low (300-499)","Very Low (1-6)","Critical (9-10)","Severely Late (23-30d)","Concerning (15-21d)","Critical"
3647,46,"Female",42,6,4,9,"Basic","Monthly",263,13,0,"Retained","46-55","Loyal (37-48m)","Low (100-299)","Very Low (1-6)","Medium (3-5)","Moderately Late (8-15d)","Mild Gap (8-14d)","Low"
3648,20,"Female",52,30,8,10,"Standard","Annual",154,8,0,"Retained","18-25","Champion (49-60m)","Low (100-299)","Very High (25-30)","High (6-8)","Moderately Late (8-15d)","Mild Gap (8-14d)","Medium"
3649,62,"Female",12,16,1,10,"Standard","Monthly",857,18,0,"Retained","56-65","Early (1-12m)","Mid-High (700-899)","Moderate (13-18)","Low (1-2)","Moderately Late (8-15d)","Concerning (15-21d)","Low"
3650,29,"Female",8,4,10,25,"Standard","Monthly",241,29,1,"Churned","26-35","Early (1-12m)","Low (100-299)","Very Low (1-6)","Critical (9-10)","Severely Late (23-30d)","Neglected (22-30d)","Critical"
3651,49,"Female",30,14,1,5,"Premium","Monthly",392,16,0,"Retained","46-55","Established (25-36m)","Mid-Low (300-499)","Moderate (13-18)","Low (1-2)","Slightly Late (1-7d)","Concerning (15-21d)","Low"
3652,39,"Female",22,25,5,7,"Premium","Quarterly",983,23,0,"Retained","36-45","Growing (13-24m)","High (900-1000)","Very High (25-30)","Medium (3-5)","Slightly Late (1-7d)","Neglected (22-30d)","Medium"
3653,60,"Female",32,23,4,29,"Basic","Quarterly",857,25,0,"Retained","56-65","Established (25-36m)","Mid-High (700-899)","High (19-24)","Medium (3-5)","Severely Late (23-30d)","Neglected (22-30d)","High"
3654,40,"Male",18,4,0,6,"Premium","Monthly",191,4,0,"Retained","36-45","Growing (13-24m)","Low (100-299)","Very Low (1-6)","No Calls","Slightly Late (1-7d)","Recent (1-7d)","Low"
3655,43,"Female",38,8,6,5,"Standard","Annual",486,11,0,"Retained","36-45","Loyal (37-48m)","Mid-Low (300-499)","Low (7-12)","High (6-8)","Slightly Late (1-7d)","Mild Gap (8-14d)","Medium"
3656,44,"Male",25,26,0,10,"Standard","Monthly",453,16,0,"Retained","36-45","Established (25-36m)","Mid-Low (300-499)","Very High (25-30)","No Calls","Moderately Late (8-15d)","Concerning (15-21d)","Low"
3657,65,"Female",30,28,7,24,"Basic","Annual",365,24,1,"Churned","56-65","Established (25-36m)","Mid-Low (300-499)","Very High (25-30)","High (6-8)","Severely Late (23-30d)","Neglected (22-30d)","Critical"
3658,34,"Male",3,1,9,6,"Premium","Annual",176,20,1,"Churned","26-35","Early (1-12m)","Low (100-299)","Very Low (1-6)","Critical (9-10)","Slightly Late (1-7d)","Concerning (15-21d)","High"
3659,63,"Male",46,5,7,25,"Standard","Monthly",211,25,1,"Churned","56-65","Loyal (37-48m)","Low (100-299)","Very Low (1-6)","High (6-8)","Severely Late (23-30d)","Neglected (22-30d)","Critical"
3660,34,"Female",37,24,6,21,"Premium","Quarterly",528,27,1,"Churned","26-35","Loyal (37-48m)","Mid (500-699)","High (19-24)","High (6-8)","Very Late (16-22d)","Neglected (22-30d)","Critical"
3661,42,"Male",17,1,1,0,"Premium","Monthly",603,21,0,"Retained","36-45","Growing (13-24m)","Mid (500-699)","Very Low (1-6)","Low (1-2)","On Time","Concerning (15-21d)","Low"
3662,35,"Female",6,10,1,17,"Premium","Monthly",202,17,0,"Retained","26-35","Early (1-12m)","Low (100-299)","Low (7-12)","Low (1-2)","Very Late (16-22d)","Concerning (15-21d)","Medium"
3663,20,"Female",38,2,1,17,"Standard","Quarterly",636,1,0,"Retained","18-25","Loyal (37-48m)","Mid (500-699)","Very Low (1-6)","Low (1-2)","Very Late (16-22d)","Recent (1-7d)","High"
3664,41,"Male",17,15,8,18,"Basic","Quarterly",564,13,0,"Retained","36-45","Growing (13-24m)","Mid (500-699)","Moderate (13-18)","High (6-8)","Very Late (16-22d)","Mild Gap (8-14d)","High"
3665,50,"Male",34,26,7,27,"Basic","Annual",936,17,1,"Churned","46-55","Established (25-36m)","High (900-1000)","Very High (25-30)","High (6-8)","Severely Late (23-30d)","Concerning (15-21d)","Critical"
3666,30,"Male",31,22,7,7,"Premium","Annual",943,10,0,"Retained","26-35","Established (25-36m)","High (900-1000)","High (19-24)","High (6-8)","Slightly Late (1-7d)","Mild Gap (8-14d)","Medium"
3667,56,"Male",30,19,5,28,"Standard","Annual",581,7,1,"Churned","56-65","Established (25-36m)","Mid (500-699)","High (19-24)","Medium (3-5)","Severely Late (23-30d)","Recent (1-7d)","Critical"
3668,50,"Male",19,18,8,25,"Standard","Monthly",883,9,0,"Retained","46-55","Growing (13-24m)","Mid-High (700-899)","Moderate (13-18)","High (6-8)","Severely Late (23-30d)","Mild Gap (8-14d)","Critical"
3669,20,"Female",58,21,3,3,"Standard","Monthly",846,15,0,"Retained","18-25","Champion (49-60m)","Mid-High (700-899)","High (19-24)","Medium (3-5)","Slightly Late (1-7d)","Concerning (15-21d)","Low"
3670,54,"Female",46,24,6,29,"Basic","Quarterly",338,12,1,"Churned","46-55","Loyal (37-48m)","Mid-Low (300-499)","High (19-24)","High (6-8)","Severely Late (23-30d)","Mild Gap (8-14d)","Critical"
3671,36,"Female",46,12,9,14,"Basic","Quarterly",259,3,0,"Retained","36-45","Loyal (37-48m)","Low (100-299)","Low (7-12)","Critical (9-10)","Moderately Late (8-15d)","Recent (1-7d)","Medium"
3672,42,"Male",17,28,7,23,"Basic","Monthly",457,4,0,"Retained","36-45","Growing (13-24m)","Mid-Low (300-499)","Very High (25-30)","High (6-8)","Severely Late (23-30d)","Recent (1-7d)","Critical"
3673,50,"Female",54,27,2,9,"Standard","Monthly",173,25,0,"Retained","46-55","Champion (49-60m)","Low (100-299)","Very High (25-30)","Low (1-2)","Moderately Late (8-15d)","Neglected (22-30d)","Low"
3674,41,"Male",53,23,6,13,"Basic","Annual",283,18,0,"Retained","36-45","Champion (49-60m)","Low (100-299)","High (19-24)","High (6-8)","Moderately Late (8-15d)","Concerning (15-21d)","Medium"
3675,25,"Male",44,21,6,26,"Premium","Quarterly",261,4,1,"Churned","18-25","Loyal (37-48m)","Low (100-299)","High (19-24)","High (6-8)","Severely Late (23-30d)","Recent (1-7d)","Critical"
3676,63,"Male",9,13,8,10,"Premium","Monthly",939,15,0,"Retained","56-65","Early (1-12m)","High (900-1000)","Moderate (13-18)","High (6-8)","Moderately Late (8-15d)","Concerning (15-21d)","Medium"
3677,25,"Male",4,8,10,8,"Premium","Quarterly",790,12,0,"Retained","18-25","Early (1-12m)","Mid-High (700-899)","Low (7-12)","Critical (9-10)","Moderately Late (8-15d)","Mild Gap (8-14d)","Medium"
3678,18,"Female",51,21,3,27,"Standard","Quarterly",282,25,1,"Churned","18-25","Champion (49-60m)","Low (100-299)","High (19-24)","Medium (3-5)","Severely Late (23-30d)","Neglected (22-30d)","High"
3679,42,"Male",7,28,0,6,"Basic","Annual",245,24,0,"Retained","36-45","Early (1-12m)","Low (100-299)","Very High (25-30)","No Calls","Slightly Late (1-7d)","Neglected (22-30d)","Low"
3680,32,"Male",48,29,7,11,"Basic","Monthly",488,18,0,"Retained","26-35","Loyal (37-48m)","Mid-Low (300-499)","Very High (25-30)","High (6-8)","Moderately Late (8-15d)","Concerning (15-21d)","Medium"
3681,60,"Male",38,14,6,6,"Standard","Monthly",343,11,0,"Retained","56-65","Loyal (37-48m)","Mid-Low (300-499)","Moderate (13-18)","High (6-8)","Slightly Late (1-7d)","Mild Gap (8-14d)","Medium"
3682,50,"Male",37,10,8,19,"Basic","Annual",834,17,1,"Churned","46-55","Loyal (37-48m)","Mid-High (700-899)","Low (7-12)","High (6-8)","Very Late (16-22d)","Concerning (15-21d)","High"
3683,33,"Male",35,13,9,11,"Standard","Annual",572,24,0,"Retained","26-35","Established (25-36m)","Mid (500-699)","Moderate (13-18)","Critical (9-10)","Moderately Late (8-15d)","Neglected (22-30d)","Medium"
3684,34,"Male",23,24,3,5,"Basic","Quarterly",145,6,0,"Retained","26-35","Growing (13-24m)","Low (100-299)","High (19-24)","Medium (3-5)","Slightly Late (1-7d)","Recent (1-7d)","Low"
3685,25,"Male",6,23,2,30,"Premium","Annual",814,8,0,"Retained","18-25","Early (1-12m)","Mid-High (700-899)","High (19-24)","Low (1-2)","Severely Late (23-30d)","Mild Gap (8-14d)","Medium"
3686,35,"Male",55,26,9,2,"Premium","Annual",587,25,0,"Retained","26-35","Champion (49-60m)","Mid (500-699)","Very High (25-30)","Critical (9-10)","Slightly Late (1-7d)","Neglected (22-30d)","Medium"
3687,47,"Female",55,14,1,29,"Standard","Quarterly",183,18,1,"Churned","46-55","Champion (49-60m)","Low (100-299)","Moderate (13-18)","Low (1-2)","Severely Late (23-30d)","Concerning (15-21d)","Medium"
3688,22,"Female",21,19,6,4,"Standard","Monthly",664,28,0,"Retained","18-25","Growing (13-24m)","Mid (500-699)","High (19-24)","High (6-8)","Slightly Late (1-7d)","Neglected (22-30d)","Medium"
3689,51,"Female",56,10,0,9,"Premium","Quarterly",701,12,0,"Retained","46-55","Champion (49-60m)","Mid-High (700-899)","Low (7-12)","No Calls","Moderately Late (8-15d)","Mild Gap (8-14d)","Low"
3690,27,"Male",10,8,0,9,"Basic","Annual",212,26,0,"Retained","26-35","Early (1-12m)","Low (100-299)","Low (7-12)","No Calls","Moderately Late (8-15d)","Neglected (22-30d)","Low"
3691,50,"Female",44,21,10,6,"Basic","Quarterly",263,8,0,"Retained","46-55","Loyal (37-48m)","Low (100-299)","High (19-24)","Critical (9-10)","Slightly Late (1-7d)","Mild Gap (8-14d)","Medium"
3692,37,"Male",4,5,5,24,"Basic","Monthly",567,23,0,"Retained","36-45","Early (1-12m)","Mid (500-699)","Very Low (1-6)","Medium (3-5)","Severely Late (23-30d)","Neglected (22-30d)","Critical"
3693,26,"Male",11,21,2,23,"Standard","Annual",318,13,0,"Retained","26-35","Early (1-12m)","Mid-Low (300-499)","High (19-24)","Low (1-2)","Severely Late (23-30d)","Mild Gap (8-14d)","Medium"
3694,55,"Female",26,10,4,3,"Standard","Quarterly",992,18,0,"Retained","46-55","Established (25-36m)","High (900-1000)","Low (7-12)","Medium (3-5)","Slightly Late (1-7d)","Concerning (15-21d)","Low"
3695,38,"Male",33,27,0,27,"Standard","Annual",802,23,0,"Retained","36-45","Established (25-36m)","Mid-High (700-899)","Very High (25-30)","No Calls","Severely Late (23-30d)","Neglected (22-30d)","Medium"
3696,57,"Male",27,1,1,2,"Premium","Annual",192,22,1,"Churned","56-65","Established (25-36m)","Low (100-299)","Very Low (1-6)","Low (1-2)","Slightly Late (1-7d)","Neglected (22-30d)","Low"
3697,47,"Female",18,28,7,2,"Basic","Quarterly",440,30,0,"Retained","46-55","Growing (13-24m)","Mid-Low (300-499)","Very High (25-30)","High (6-8)","Slightly Late (1-7d)","Neglected (22-30d)","Medium"
3698,61,"Female",38,4,0,28,"Standard","Annual",968,9,0,"Retained","56-65","Loyal (37-48m)","High (900-1000)","Very Low (1-6)","No Calls","Severely Late (23-30d)","Mild Gap (8-14d)","High"
3699,58,"Male",35,16,7,25,"Basic","Quarterly",780,2,1,"Churned","56-65","Established (25-36m)","Mid-High (700-899)","Moderate (13-18)","High (6-8)","Severely Late (23-30d)","Recent (1-7d)","Critical"
3700,21,"Female",12,28,7,10,"Basic","Monthly",132,30,0,"Retained","18-25","Early (1-12m)","Low (100-299)","Very High (25-30)","High (6-8)","Moderately Late (8-15d)","Neglected (22-30d)","Medium"
3701,30,"Male",28,30,9,22,"Basic","Monthly",897,1,1,"Churned","26-35","Established (25-36m)","Mid-High (700-899)","Very High (25-30)","Critical (9-10)","Very Late (16-22d)","Recent (1-7d)","Critical"
3702,26,"Female",3,7,5,5,"Standard","Monthly",953,22,0,"Retained","26-35","Early (1-12m)","High (900-1000)","Low (7-12)","Medium (3-5)","Slightly Late (1-7d)","Neglected (22-30d)","Medium"
